Start,End,Entity,Semantic,File Name
411,465,no evidence of cognitive impairment by medical history,condition,NCT00785759
20,56,mild to moderate alzheimer's disease,condition,NCT00930059
58,62,mmse,measurement,NCT00930059
63,68,14-26,value,NCT00930059
70,89,good general health,condition,NCT00930059
20,37,early stage of ad,condition,NCT00951834
28,31,age,demography,NCT00951834
43,45,no,value,NCT00951834
100,106,60-100,value,NCT00951834
107,111,mmse,measurement,NCT00951834
112,117,20-26,value,NCT00951834
132,139,at home,demography,NCT00951834
145,157,at least one,value,NCT00951834
158,166,relative,caregiver,NCT00951834
226,235,donepezil,drug,NCT00951834
237,244,aricept,drug,NCT00951834
267,309,with at least 3 months to maximum 6 months,time,NCT00951834
340,374,maximum of 2 cups of black tea/die,condition,NCT00951834
376,388,no green tea,condition,NCT00951834
390,436,not more than > 500 ml/die of grapefruit juice,condition,NCT00951834
20,37,55 years or older,value,NCT01058941
38,49,probable ad,condition,NCT01058941
127,146,alzheimer's disease,condition,NCT01058941
205,209,mmse,measurement,NCT01058941
218,223,15-26,value,NCT01058941
224,233,caregiver,caregiver,NCT01058941
234,247,study partner,caregiver,NCT01058941
313,338,cholinesterase inhibitors,drug,NCT01058941
343,352,memantine,drug,NCT01058941
390,404,4 months prior,time,NCT01058941
390,391,4,value,NCT01058941
441,502,"over-the-counter antioxidants (e.g. vitamin e, ginkgo biloba)",drug,NCT01058941
593,618,lipid lowering medication,drug,NCT01058941
680,706,geriatric depression scale,measurement,NCT01058941
724,727,< 5,value,NCT01058941
838,848,laboratory,measurement,NCT01058941
856,876,within normal limits,value,NCT01058941
29,33,aged,demography,NCT01075763
42,57,50 and 75 years,value,NCT01075763
82,84,ad,condition,NCT01075763
193,197,mmse,measurement,NCT01075763
207,215,20 to 26,value,NCT01075763
253,262,caregiver,caregiver,NCT01075763
42,70,probable alzheimer´s disease,condition,NCT01125683
71,96,hachinski ischaemic score,measurement,NCT01125683
97,100,< 4,value,NCT01125683
101,110,mse score,measurement,NCT01125683
111,119,18 to 24,value,NCT01125683
42,62,probable alzheimer's,condition,NCT01183806
71,88,at least 55 years,value,NCT01183806
92,95,age,demography,NCT01183806
101,110,caregiver,caregiver,NCT01183806
138,155,at least 3 months,time,NCT01183806
138,162,at least 3 months before,value,NCT01183806
233,299,do not be taking other prescribed medication for alzheimer disease,drug,NCT01183806
300,327,treated stable hypertension,condition,NCT01183806
20,24,male,demography,NCT01245530
36,39,age,demography,NCT01245530
60,63,old,demography,NCT01245530
112,132,legal representative,caregiver,NCT01245530
157,176,alzheimer's disease,condition,NCT01245530
230,250,probable alzheimer's,condition,NCT01245530
425,429,mmse,measurement,NCT01245530
436,444,10 to 26,value,NCT01245530
445,480,cdr(clinical dementia rating) score,measurement,NCT01245530
458,466,dementia,condition,NCT01245530
488,519,gds(global deterioration scale),measurement,NCT01245530
543,554,didn't take,value,NCT01245530
574,579,achei,drug,NCT01245530
581,590,donepezil,drug,NCT01245530
592,601,memantine,drug,NCT01245530
603,613,galantamin,drug,NCT01245530
659,686,at least 4 weeks more prior,time,NCT01245530
668,669,4,value,NCT01245530
715,730,menopause women,condition,NCT01245530
734,830,her/his spouse consent with contraception during the study period and 90 days after end of study,condition,NCT01245530
42,62,probable alzheimer's,condition,NCT01249196
89,91,ad,condition,NCT01249196
105,108,mri,measurement,NCT01249196
105,108,mri,procedure,NCT01249196
125,126,1,value,NCT01249196
135,168,consistent with a diagnosis of ad,value,NCT01249196
169,173,mmse,measurement,NCT01249196
183,191,10 to 26,value,NCT01249196
196,199,cdr,measurement,NCT01249196
203,209,1 or 2,value,NCT01249196
210,215,achei,drug,NCT01249196
219,228,memantine,drug,NCT01249196
233,266,not taken at least 3 months prior,time,NCT01249196
33,83,amnestic or non-amnestic mild cognitive impairment,condition,NCT01303744
85,120,mini-mental state examination score,measurement,NCT01303744
121,135,higher than 24,value,NCT01303744
150,153,mri,measurement,NCT01303744
150,153,mri,procedure,NCT01303744
149,158,caregiver,caregiver,NCT01324518
159,180,males and and females,demography,NCT01324518
189,194,55-90,value,NCT01324518
214,234,probable alzheimer's,condition,NCT01324518
291,304,brain imaging,procedure,NCT01324518
305,340,consistent with alzheimer's disease,value,NCT01324518
341,376,mini-mental state examination score,measurement,NCT01324518
377,382,12-21,value,NCT01324518
396,405,donepezil,drug,NCT01324518
407,419,rivastigmine,drug,NCT01324518
423,434,galantamine,drug,NCT01324518
20,23,age,demography,NCT01409694
24,34,≥ 60 years,value,NCT01409694
39,41,no,value,NCT01409694
48,76,moderate alzheimer's disease,condition,NCT01409694
135,171,mini-mental state examination (mmse),measurement,NCT01409694
172,201,between 10 and 20 inclusively,value,NCT01409694
210,293,"hypovitaminosis d (i.e., serum 25-hydroxyvitamin d [25ohd]concentration < 30 ng/ml)",condition,NCT01409694
302,373,"no hypercalcemia (defined as serum calcium concentration ≥ 2,65 mmol/l)",condition,NCT01409694
514,534,legal representative,caregiver,NCT01409694
20,24,male,demography,NCT01436045
59,83,diagnosis of probable ad,value,NCT01436045
72,83,probable ad,condition,NCT01436045
185,204,alzheimer's disease,condition,NCT01436045
267,275,dementia,condition,NCT01436045
298,299,1,value,NCT01436045
301,302,4,value,NCT01436045
305,341,mini-mental state examination (mmse),measurement,NCT01436045
351,356,18-26,value,NCT01436045
358,382,hachinski ischemia score,measurement,NCT01436045
383,386,< 4,value,NCT01436045
388,391,age,demography,NCT01436045
395,413,> 65 and <85 years,value,NCT01436045
414,477,females must be > 2 years post-menopausal or surgically sterile,condition,NCT01436045
630,655,"family member /caregiver,",caregiver,NCT01436045
1002,1035,legally authorized representative,caregiver,NCT01436045
1055,1065,≥ 1 months,time,NCT01436045
1083,1113,acetylcholinesterase inhibitor,drug,NCT01436045
1120,1129,donepezil,drug,NCT01436045
1131,1143,rivastigmine,drug,NCT01436045
1145,1156,galantamine,drug,NCT01436045
1165,1174,memantine,drug,NCT01436045
1178,1193,brain ct or mri,procedure,NCT01436045
1190,1193,mri,measurement,NCT01436045
1214,1275,compatible with the diagnosis of probable alzheimer's disease,value,NCT01436045
1247,1267,probable alzheimer's,condition,NCT01436045
1279,1303,clinical dementia rating,measurement,NCT01436045
1305,1308,cdr,measurement,NCT01436045
1323,1329,1 to 2,value,NCT01436045
44,46,ad,condition,NCT01466088
114,150,mini-mental state examination (mmse),measurement,NCT01466088
161,169,12 to 22,value,NCT01466088
184,208,at least 12 months prior,time,NCT01466088
240,253,brain imaging,procedure,NCT01466088
262,277,within 6 months,time,NCT01466088
318,326,dementia,condition,NCT01466088
370,388,modified hachinski,measurement,NCT01466088
413,419,</= 4.,value,NCT01466088
434,443,caregiver,caregiver,NCT01466088
571,587,able to complete,value,NCT01466088
23,25,no,value,NCT01539031
53,73,probable alzheimer's,condition,NCT01539031
83,85,ad,condition,NCT01539031
202,238,mini mental state examination (mmse),measurement,NCT01539031
239,293,less than or equal to 12 and greater than or equal to1,value,NCT01539031
409,461,no evidence of focal disease to account for dementia,value,NCT01539031
453,461,dementia,condition,NCT01539031
479,482,age,demography,NCT01539031
484,510,magnetic resonance imaging,procedure,NCT01539031
512,515,mri,measurement,NCT01539031
512,515,mri,procedure,NCT01539031
566,570,male,demography,NCT01539031
591,624,greater than or equal to 50 years,value,NCT01539031
642,653,outpatients,demography,NCT01539031
719,728,caregiver,caregiver,NCT01539031
873,882,donepezil,drug,NCT01539031
891,896,10 mg,value,NCT01539031
917,922,daily,time,NCT01539031
932,965,greater than or equal to 3 months,time,NCT01539031
29,53,diagnosis of probable ad,value,NCT01569516
42,53,probable ad,condition,NCT01569516
101,105,male,demography,NCT01569516
121,125,aged,demography,NCT01569516
134,143,50 and 85,value,NCT01569516
145,173,mild to moderate probable ad,condition,NCT01569516
175,273,"middle school or above: 11 ≤mmse ≤ 25, elementary school: 8 ≤ mmse ≤ 20, illiteracy: 5 ≤ mmse ≤ 16",value,NCT01569516
203,207,mmse,measurement,NCT01569516
275,289,ct or mri scan,procedure,NCT01569516
281,284,mri,measurement,NCT01569516
290,332,excluding another structural brain disease,value,NCT01569516
346,368,neurologic examination,procedure,NCT01569516
369,397,no significant abnormalities,value,NCT01569516
399,423,hachinski ischemic score,measurement,NCT01569516
454,457,≤10,value,NCT01569516
459,475,able to complete,value,NCT01569516
588,597,chaperone,caregiver,NCT01569516
599,692,more than 2 hours a day together with the patient or accumulated fewer than 14 hours per week,time,NCT01569516
730,750,legal representative,caregiver,NCT01569516
763,772,caregiver,caregiver,NCT01569516
38,47,caregiver,caregiver,NCT01676935
308,374,randomized into study m10-985 and completed dosing through week 24,condition,NCT01676935
429,448,mild to moderate ad,condition,NCT01676935
578,598,physical examination,procedure,NCT01676935
600,611,vital signs,measurement,NCT01676935
613,623,laboratory,measurement,NCT01676935
639,650,12-lead ecg,procedure,NCT01676935
657,834,"male, the subject is surgically sterile (vasectomy, is sexually inactive, or is using a barrier method of birth control (condom) with spermicidal foam/gel/film/cream/suppository",condition,NCT01676935
657,661,male,demography,NCT01676935
968,1028,postmenopausal for at least 2 years or is surgically sterile,condition,NCT01676935
987,1003,at least 2 years,time,NCT01676935
244,253,caregiver,caregiver,NCT01723826
300,305,daily,time,NCT01723826
391,411,probable alzheimer's,condition,NCT01723826
609,645,mini-mental state examination (mmse),measurement,NCT01723826
655,665,10 or more,value,NCT01723826
706,833,"male participants with partners with reproductive potential, agreement to use a reliable means of contraception (e.g., condoms)",condition,NCT01723826
706,710,male,demography,NCT01723826
918,964,"female participants, a negative pregnancy test",condition,NCT01723826
62,66,amci,condition,NCT01767909
91,102,probable ad,condition,NCT01767909
179,198,alzheimer's disease,condition,NCT01767909
257,293,mini mental state examination (mmse),measurement,NCT01767909
316,343,greater than or equal to 20,value,NCT01767909
344,368,clinical dementia rating,measurement,NCT01767909
353,361,dementia,condition,NCT01767909
372,375,0.5,value,NCT01767909
376,377,1,value,NCT01767909
457,466,education,demography,NCT01767909
468,491,less than or equal to 4,value,NCT01767909
688,704,able to complete,value,NCT01767909
726,744,modified hachinski,measurement,NCT01767909
780,793,study partner,caregiver,NCT01767909
950,1005,more than 2 days per week (minimum of 10 hours per week,value,NCT01767909
1089,1101,for 3 months,time,NCT01767909
1150,1157,4 weeks,time,NCT01767909
1237,1284,at least six years of education or work history,demography,NCT01767909
1294,1304,laboratory,measurement,NCT01767909
1320,1340,within normal limits,value,NCT01767909
20,44,diagnosis of probable ad,value,NCT01852110
33,44,probable ad,condition,NCT01852110
139,158,alzheimer's disease,condition,NCT01852110
428,440,at least one,value,NCT01852110
530,539,informant,caregiver,NCT01852110
597,602,daily,time,NCT01852110
611,616,achei,drug,NCT01852110
625,634,donepezil,drug,NCT01852110
636,648,rivastigmine,drug,NCT01852110
653,664,galantamine,drug,NCT01852110
671,690,at least two months,value,NCT01852110
828,833,10 mg,value,NCT01852110
886,991,9.5 or 13.3 mg/24 hours administered by transdermal patch or 6-12 mg total daily dose administered orally,value,NCT01852110
1006,1031,16-24 mg total daily dose,value,NCT01852110
1117,1207,history of academic achievement and/or employment sufficient to exclude mental retardation,condition,NCT01852110
1238,1251,trial partner,caregiver,NCT01852110
53,57,male,demography,NCT01940952
77,85,50 to 90,value,NCT01940952
95,98,age,demography,NCT01940952
113,133,probable alzheimer's,condition,NCT01940952
300,336,mini-mental state examination (mmse),measurement,NCT01940952
346,357,≥10 and ≤26,value,NCT01940952
366,390,clinical dementia rating,measurement,NCT01940952
375,383,dementia,condition,NCT01940952
391,396,≥ 0.5,value,NCT01940952
398,457,mild to moderate (not severe) white matter hyperintensities,value,NCT01940952
461,470,brain mri,procedure,NCT01940952
467,470,mri,measurement,NCT01940952
593,603,caregivers,caregiver,NCT01940952
604,674,living with patients or spending 10 or more hours a week with patients,value,NCT01940952
691,700,donepezil,drug,NCT01940952
701,713,(5mg to 10mg,value,NCT01940952
719,735,at least 60 days,time,NCT01940952
762,771,memantine,drug,NCT01940952
786,817,washed out for at least 60 days,time,NCT01940952
841,852,anxiolytics,drug,NCT01940952
854,868,antipsychotics,drug,NCT01940952
874,883,hypnotics,drug,NCT01940952
904,947,dose has been stable for at least two weeks,time,NCT01940952
20,70,membership in psen1 e280a mutation carrier kindred,condition,NCT01998841
38,39,1,value,NCT01998841
123,138,genetic testing,measurement,NCT01998841
178,182,apoe,measurement,NCT01998841
225,275,psen1 e280a mutation carrier or non-carrier status,value,NCT01998841
335,371,mini-mental stage examination (mmse),measurement,NCT01998841
372,525,greater than or equal to (>=) 24 for participants with less than (<) 9 years of education or mmse >=26 for participants with 9 or more years of education,value,NCT01998841
452,461,education,demography,NCT01998841
526,571,does not meet criteria for dementia due to ad,condition,NCT01998841
681,749,does not meet criteria for mild cognitive impairment (mci) due to ad,condition,NCT01998841
923,939,able to complete,value,NCT01998841
1404,1416,at least one,value,NCT01998841
1657,1858,"men with partners of childbearing potential (that is [i.e.], women who are not surgically sterile and are not postmenopausal), agreement to remain abstinent or use a condom as a method of contraception",condition,NCT01998841
1946,1959,study partner,caregiver,NCT01998841
2410,2415,daily,time,NCT01998841
2890,2915,neuroimaging (pet and mri,procedure,NCT01998841
2912,2915,mri,measurement,NCT01998841
2917,2956,serum thyroid stimulating hormone (tsh),measurement,NCT01998841
2961,2971,b12 levels,measurement,NCT01998841
2979,2985,normal,value,NCT01998841
3021,3031,laboratory,measurement,NCT01998841
3665,3684,good general health,condition,NCT01998841
20,23,age,demography,NCT02017340
31,33,ad,condition,NCT02017340
47,64,males and females,demography,NCT02017340
65,82,over age 50 years,value,NCT02017340
103,131,mild to moderate probable ad,condition,NCT02017340
184,240,standardised mini-mental state examination (smmse) score,measurement,NCT02017340
241,245,> 12,value,NCT02017340
262,271,>3 months,time,NCT02017340
275,299,cholinesterase inhibitor,drug,NCT02017340
307,316,memantine,drug,NCT02017340
343,368,cholinesterase inhibitors,drug,NCT02017340
